simulation_id,wind_speed,fuel_load_category,control_fuel_load,treatment_fuel_load,control_fuel_height,treatment_fuel_height,control_fuel_moisture_content,treatment_fuel_moisture_content,control_sav,treatment_sav,circle_radius,fuel_model,resolution
216,1.5025,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
217,1.5808,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
218,1.6591,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
219,1.7374,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
220,1.8157,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
221,1.8939,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
222,1.9722,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
223,2.0505,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
224,2.1288,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
225,2.2071,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
226,2.2854,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
227,2.3636,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
228,2.4419,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
229,2.5202,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
230,2.5985,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
231,2.6768,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
232,2.7551,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
233,2.8333,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
234,2.9116,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
235,2.9899,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
236,3.0682,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
237,3.1465,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
238,3.2247,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
239,3.303,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
240,3.3813,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
241,3.4596,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
242,3.5379,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
243,3.6162,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
244,3.6944,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
245,3.7727,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
246,3.851,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
247,3.9293,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
248,4.0076,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
249,4.0859,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
250,4.1641,low,0.07,0.07,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse
