,simulation_id,wind_speed,fuel_load_category,control_fuel_load,treatment_fuel_load,control_fuel_height,treatment_fuel_height,control_fuel_moisture_content,treatment_fuel_moisture_content,control_sav,treatment_sav,circle_radius,fuel_model,resolution,ros
74,74,3.8636,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7433052112861003
75,75,3.9091,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7353096794213599
76,76,3.9545,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7351065068245977
77,77,4.0,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7396564703721074
78,78,4.0455,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7674894232005426
79,79,4.0909,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7498151531317621
80,80,4.1364,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7506600413840407
81,81,4.1818,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7184427425744608
82,82,4.2273,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7266935676325172
83,83,4.2727,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7315267831581891
84,84,4.3182,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7635771554018216
85,85,4.3636,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7311433780602661
86,86,4.4091,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7267334348487933
87,87,4.4545,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7453589367807845
88,88,4.5,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7566177456752319
89,89,4.5455,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.731908240371191
90,90,4.5909,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7312781966071205
91,91,4.6364,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7470451807679419
92,92,4.6818,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7642818786821868
93,93,4.7273,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7724185638069057
94,94,4.7727,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7187044155932363
95,95,4.8182,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7514724743809911
96,96,4.8636,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7107442271629762
97,97,4.9091,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7244847534848322
98,98,4.9545,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7325708032763704
99,99,5.0,high,0.31,0.155,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,0.7193095383066033
100,100,0.5,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
101,101,0.5455,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
102,102,0.5909,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
103,103,0.6364,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
104,104,0.6818,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
105,105,0.7273,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
106,106,0.7727,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
107,107,0.8182,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
108,108,0.8636,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
109,109,0.9091,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
110,110,0.9545,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
111,111,1.0,medium,0.19,0.095,0.6096,0.1524,0.15,0.15,6561,6561,1.8288,pfm,coarse,
