simulation_id,fuel_model,circle_radius,control_fuel_height,treatment_fuel_height,control_fuel_moisture_content,treatment_fuel_moisture_content,control_sav,treatment_sav,fuel_load,wind_speed
98,pfm,1.35,0.6,0.1,0.15,0.15,6561,6561,0.31,2.8
99,pfm,1.35,0.6,0.1,0.15,0.15,6561,6561,0.31,2.9
100,pfm,1.35,0.6,0.1,0.15,0.15,6561,6561,0.31,3.0
101,pfm,1.35,0.6,0.1,0.15,0.15,6561,6561,0.31,3.1
102,pfm,1.35,0.6,0.1,0.15,0.15,6561,6561,0.31,3.2
103,pfm,1.35,0.6,0.1,0.15,0.15,6561,6561,0.31,3.3
104,pfm,1.35,0.6,0.1,0.15,0.15,6561,6561,0.31,3.4
105,pfm,1.35,0.6,0.2,0.15,0.15,6561,6561,0.31,2.0
106,pfm,1.35,0.6,0.2,0.15,0.15,6561,6561,0.31,2.1
107,pfm,1.35,0.6,0.2,0.15,0.15,6561,6561,0.31,2.2
108,pfm,1.35,0.6,0.2,0.15,0.15,6561,6561,0.31,2.3
109,pfm,1.35,0.6,0.2,0.15,0.15,6561,6561,0.31,2.4
110,pfm,1.35,0.6,0.2,0.15,0.15,6561,6561,0.31,2.5
111,pfm,1.35,0.6,0.2,0.15,0.15,6561,6561,0.31,2.6
112,pfm,1.35,0.6,0.2,0.15,0.15,6561,6561,0.31,2.7
113,pfm,1.35,0.6,0.2,0.15,0.15,6561,6561,0.31,2.8
114,pfm,1.35,0.6,0.2,0.15,0.15,6561,6561,0.31,2.9
115,pfm,1.35,0.6,0.2,0.15,0.15,6561,6561,0.31,3.0
116,pfm,1.35,0.6,0.2,0.15,0.15,6561,6561,0.31,3.1
117,pfm,1.35,0.6,0.2,0.15,0.15,6561,6561,0.31,3.2
118,pfm,1.35,0.6,0.2,0.15,0.15,6561,6561,0.31,3.3
119,pfm,1.35,0.6,0.2,0.15,0.15,6561,6561,0.31,3.4
120,pfm,1.35,0.6,0.3,0.15,0.15,6561,6561,0.31,2.0
121,pfm,1.35,0.6,0.3,0.15,0.15,6561,6561,0.31,2.1
122,pfm,1.35,0.6,0.3,0.15,0.15,6561,6561,0.31,2.2
123,pfm,1.35,0.6,0.3,0.15,0.15,6561,6561,0.31,2.3
124,pfm,1.35,0.6,0.3,0.15,0.15,6561,6561,0.31,2.4
125,pfm,1.35,0.6,0.3,0.15,0.15,6561,6561,0.31,2.5
126,pfm,1.35,0.6,0.3,0.15,0.15,6561,6561,0.31,2.6
127,pfm,1.35,0.6,0.3,0.15,0.15,6561,6561,0.31,2.7
128,pfm,1.35,0.6,0.3,0.15,0.15,6561,6561,0.31,2.8
129,pfm,1.35,0.6,0.3,0.15,0.15,6561,6561,0.31,2.9
130,pfm,1.35,0.6,0.3,0.15,0.15,6561,6561,0.31,3.0
131,pfm,1.35,0.6,0.3,0.15,0.15,6561,6561,0.31,3.1
132,pfm,1.35,0.6,0.3,0.15,0.15,6561,6561,0.31,3.2
133,pfm,1.35,0.6,0.3,0.15,0.15,6561,6561,0.31,3.3
134,pfm,1.35,0.6,0.3,0.15,0.15,6561,6561,0.31,3.4
135,pfm,1.35,0.6,0.4,0.15,0.15,6561,6561,0.31,2.0
136,pfm,1.35,0.6,0.4,0.15,0.15,6561,6561,0.31,2.1
137,pfm,1.35,0.6,0.4,0.15,0.15,6561,6561,0.31,2.2
138,pfm,1.35,0.6,0.4,0.15,0.15,6561,6561,0.31,2.3
139,pfm,1.35,0.6,0.4,0.15,0.15,6561,6561,0.31,2.4
140,pfm,1.35,0.6,0.4,0.15,0.15,6561,6561,0.31,2.5
141,pfm,1.35,0.6,0.4,0.15,0.15,6561,6561,0.31,2.6
142,pfm,1.35,0.6,0.4,0.15,0.15,6561,6561,0.31,2.7
143,pfm,1.35,0.6,0.4,0.15,0.15,6561,6561,0.31,2.8
144,pfm,1.35,0.6,0.4,0.15,0.15,6561,6561,0.31,2.9
145,pfm,1.35,0.6,0.4,0.15,0.15,6561,6561,0.31,3.0
146,pfm,1.35,0.6,0.4,0.15,0.15,6561,6561,0.31,3.1
147,pfm,1.35,0.6,0.4,0.15,0.15,6561,6561,0.31,3.2
148,pfm,1.35,0.6,0.4,0.15,0.15,6561,6561,0.31,3.3
149,pfm,1.35,0.6,0.4,0.15,0.15,6561,6561,0.31,3.4
150,pfm,1.35,0.6,0.5,0.15,0.15,6561,6561,0.31,2.0
151,pfm,1.35,0.6,0.5,0.15,0.15,6561,6561,0.31,2.1
152,pfm,1.35,0.6,0.5,0.15,0.15,6561,6561,0.31,2.2
153,pfm,1.35,0.6,0.5,0.15,0.15,6561,6561,0.31,2.3
154,pfm,1.35,0.6,0.5,0.15,0.15,6561,6561,0.31,2.4
155,pfm,1.35,0.6,0.5,0.15,0.15,6561,6561,0.31,2.5
156,pfm,1.35,0.6,0.5,0.15,0.15,6561,6561,0.31,2.6
157,pfm,1.35,0.6,0.5,0.15,0.15,6561,6561,0.31,2.7
158,pfm,1.35,0.6,0.5,0.15,0.15,6561,6561,0.31,2.8
159,pfm,1.35,0.6,0.5,0.15,0.15,6561,6561,0.31,2.9
160,pfm,1.35,0.6,0.5,0.15,0.15,6561,6561,0.31,3.0
161,pfm,1.35,0.6,0.5,0.15,0.15,6561,6561,0.31,3.1
162,pfm,1.35,0.6,0.5,0.15,0.15,6561,6561,0.31,3.2
163,pfm,1.35,0.6,0.5,0.15,0.15,6561,6561,0.31,3.3
164,pfm,1.35,0.6,0.5,0.15,0.15,6561,6561,0.31,3.4
165,pfm,1.35,0.6,0.6,0.15,0.15,6561,6561,0.31,2.0
166,pfm,1.35,0.6,0.6,0.15,0.15,6561,6561,0.31,2.1
167,pfm,1.35,0.6,0.6,0.15,0.15,6561,6561,0.31,2.2
168,pfm,1.35,0.6,0.6,0.15,0.15,6561,6561,0.31,2.3
169,pfm,1.35,0.6,0.6,0.15,0.15,6561,6561,0.31,2.4
170,pfm,1.35,0.6,0.6,0.15,0.15,6561,6561,0.31,2.5
