simulation_id,fuel_model,circle_radius,control_fuel_height,treatment_fuel_height,control_fuel_moisture_content,treatment_fuel_moisture_content,control_sav,treatment_sav,fuel_load,wind_speed
125,pfm,1.8,0.6,0.1,0.15,0.15,6561,6561,0.31,1.5
126,pfm,1.8,0.6,0.1,0.15,0.15,6561,6561,0.31,1.6
127,pfm,1.8,0.6,0.1,0.15,0.15,6561,6561,0.31,1.7
128,pfm,1.8,0.6,0.1,0.15,0.15,6561,6561,0.31,1.8
129,pfm,1.8,0.6,0.1,0.15,0.15,6561,6561,0.31,1.9
130,pfm,1.8,0.6,0.2,0.15,0.15,6561,6561,0.31,1.0
131,pfm,1.8,0.6,0.2,0.15,0.15,6561,6561,0.31,1.1
132,pfm,1.8,0.6,0.2,0.15,0.15,6561,6561,0.31,1.2
133,pfm,1.8,0.6,0.2,0.15,0.15,6561,6561,0.31,1.3
134,pfm,1.8,0.6,0.2,0.15,0.15,6561,6561,0.31,1.4
135,pfm,1.8,0.6,0.2,0.15,0.15,6561,6561,0.31,1.5
136,pfm,1.8,0.6,0.2,0.15,0.15,6561,6561,0.31,1.6
137,pfm,1.8,0.6,0.2,0.15,0.15,6561,6561,0.31,1.7
138,pfm,1.8,0.6,0.2,0.15,0.15,6561,6561,0.31,1.8
139,pfm,1.8,0.6,0.2,0.15,0.15,6561,6561,0.31,1.9
140,pfm,1.8,0.6,0.3,0.15,0.15,6561,6561,0.31,1.0
141,pfm,1.8,0.6,0.3,0.15,0.15,6561,6561,0.31,1.1
142,pfm,1.8,0.6,0.3,0.15,0.15,6561,6561,0.31,1.2
143,pfm,1.8,0.6,0.3,0.15,0.15,6561,6561,0.31,1.3
144,pfm,1.8,0.6,0.3,0.15,0.15,6561,6561,0.31,1.4
145,pfm,1.8,0.6,0.3,0.15,0.15,6561,6561,0.31,1.5
146,pfm,1.8,0.6,0.3,0.15,0.15,6561,6561,0.31,1.6
147,pfm,1.8,0.6,0.3,0.15,0.15,6561,6561,0.31,1.7
148,pfm,1.8,0.6,0.3,0.15,0.15,6561,6561,0.31,1.8
149,pfm,1.8,0.6,0.3,0.15,0.15,6561,6561,0.31,1.9
